Gene_original,Gene_limpo,ENTREZID
EXOC3,EXOC3,11336
PLIN3,PLIN3,10226
SLC16A7,SLC16A7,9194
PRMT3,PRMT3,10196
KPNA6,KPNA6,23633
UGDH,UGDH,7358
CTNND1,CTNND1,1500
ICMT,ICMT,23463
PLA2G6,PLA2G6,8398
SNX2,SNX2,6643
DPM1,DPM1,8813
USO1,USO1,8615
TOM1,TOM1,10043
PFKFB2,PFKFB2,5208
CCDC22,CCDC22,28952
PQBP1,PQBP1,10084
PRAF2,PRAF2,11230
DKC1,DKC1,1736
EIF5B,EIF5B,9669
GAS7,GAS7,8522
EDF1,EDF1,8721
GPR37L1,GPR37L1,9283
DNAJA2,DNAJA2,10294
BRD4,BRD4,23476
OPHN1,OPHN1,4983
SMPD2,SMPD2,6610
NBN,NBN,4683
NOL3,NOL3,8996
RNGTT,RNGTT,8732
ABCB7,ABCB7,22
KIF21B,KIF21B,23046
SRGAP2,SRGAP2,23380
PLXNA2,PLXNA2,5362
NOS1AP,NOS1AP,9722
IGSF3,IGSF3,3321
DNAJC6,DNAJC6,9829
WDR1,WDR1,9948
FZD7,FZD7,8324
ATP9A,ATP9A,10079
ROCK2,ROCK2,9475
CLASP2,CLASP2,23122
COBL,COBL,23242
ASTN2,ASTN2,23245
CPNE3,CPNE3,8895
ICOSLG,ICOSLG,23308
PPFIA3,PPFIA3,8541
HIP1R,HIP1R,9026
OBSL1,OBSL1,23363
RNF40,RNF40,9810
ZC3H11A,ZC3H11A,9877
CLUH,CLUH,23277
CAND2,CAND2,23066
DNAJC13,DNAJC13,23317
PPP6R2,PPP6R2,9701
CNOT3,CNOT3,4849
ANKRD17,ANKRD17,26057
SIN3B,SIN3B,23309
DNAJB6,DNAJB6,10049
COQ9,COQ9,57017
GGCT,GGCT,79017
NDUFS7,NDUFS7,374291
NDUFS2,NDUFS2,4720
ZPR1,ZPR1,8882
NIPSNAP2,NIPSNAP2,2631
PDCD6,PDCD6,10016
TBCA,TBCA,6902
ATP6V1G1,ATP6V1G1,9550
VPS4B,VPS4B,9525
MPDU1,MPDU1,9526
BCAS1,BCAS1,8537
MACROH2A1,MACROH2A1,9555
SH3BGRL,SH3BGRL,6451
FLNB,FLNB,2317
NCOR1,NCOR1,9611
NDUFS6,NDUFS6,4726
TRIM3,TRIM3,10612
CS,CS,1431
SPAG7,SPAG7,9552
SEC22B,SEC22B,9554
PRPF40A,PRPF40A,55660
TACC1,TACC1,6867
MTX2,MTX2,10651
VPS26A,VPS26A,9559
NDUFB1,NDUFB1,4707
PMPCB,PMPCB,9512
MED24,MED24,9862
PSIP1,PSIP1,11168
ERLIN1,ERLIN1,10613
GPC4,GPC4,2239
NDUFS3,NDUFS3,4722
SRSF10,SRSF10,10772
CLN5,CLN5,1203
ECI2,ECI2,10455
KHDRBS3,KHDRBS3,10656
EED,EED,8726
BANF1,BANF1,8815
SF3B1,SF3B1,23451
CSDE1,CSDE1,7812
DAB1,DAB1,1600
SKAP2,SKAP2,8935
PRKRA,PRKRA,8575
