"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","44/747","113/3535",0.389380530973451,1.84265083934558,4.71187830882223,8.77219890231421e-06,0.000127823469719436,7.07931841239392e-05,"5595/5594/64422/22808/5290/7879/10533/5562/55823/5295/57617/643246/64601/65082/3845/51100/84557/23001/11337/56270/23339/26100/27072/53349/5728/4893/5563/5602/11152/208/8678/5516/5515/207/7189/6794/8660/7248/57521/10652/10670/5601/3265/7249",44
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","29/747","64/3535",0.453125,2.14430639223561,4.78136824513023,1.06444902045637e-05,0.000148055181936204,8.19982259777395e-05,"5595/55970/2771/5578/5594/2892/3709/59345/2776/2778/2788/2890/2783/6506/2891/6511/2782/2899/2752/114/2773/2893/2770/2915/23236/9229/5338/5330/5530",29
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","26/747","55/3535",0.472727272727273,2.23706949008154,4.78556266545813,1.19535852597739e-05,0.000159034656064818,8.80790492825445e-05,"55970/2771/2768/59345/5290/387/2776/2778/10672/2767/5295/26060/2788/6777/3685/2783/2782/114/4842/2773/2770/23236/885/6794/8660/5330",26
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","53/747","147/3535",0.360544217687075,1.70618983871996,4.52642803090993,1.50845591517123e-05,0.000192328129184332,0.000106518158922179,"5595/9459/55970/5594/22808/2246/369/2768/5879/23191/5290/8976/998/387/10163/10672/3675/3693/5295/5305/3071/2934/10552/1793/10787/3685/79784/3845/3696/4478/26999/85477/6093/54961/3679/4893/2247/54776/10094/10096/208/10093/23396/81873/10097/207/3691/6654/7409/3265/7074/1073/3984",53
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","39/747","98/3535",0.397959183673469,1.88324727481354,4.58936676940935,1.57737102484491e-05,0.000193070213441018,0.000106929151578961,"5595/391/5594/5879/63916/5290/8976/998/387/10163/2776/9815/5295/6196/9844/10552/1793/4615/6093/7456/4792/5602/10094/10096/208/10093/23396/81873/10097/834/207/7189/3551/382/5585/7409/5601/3984/147179",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","32/747","75/3535",0.426666666666667,2.01909861668898,4.61695863071137,1.74516671925581e-05,0.00020539269849703,0.000113753782105338,"84631/1002/4684/9672/4897/58494/57555/3685/54413/3696/9369/64115/1013/6385/57502/9379/3383/5797/3122/3105/22871/4685/3115/94030/3133/3113/3123/3107/57863/3106/22854/3127",32
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","30/747","69/3535",0.434782608695652,2.05750538385426,4.5913462111826,2.05268371515722e-05,0.000232637487717818,0.000128842915454313,"5595/55970/2771/5578/5594/59345/5290/2778/1910/5295/2788/3845/2783/2782/114/4842/4792/4893/2773/5602/2770/208/23236/207/5330/409/6654/5601/3265/4087",30
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","36/747","89/3535",0.404494382022472,1.91417354812508,4.52077826450138,2.20004348882639e-05,0.000240433324136027,0.000133160526955282,"5595/2771/5906/5594/482/5879/2892/5290/387/5908/117/5142/2778/5295/476/2890/2891/9568/477/5348/493/6093/114/4792/2773/5602/2893/2770/817/208/3991/5338/207/7409/5601/7074",36
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","18/747","33/3535",0.545454545454545,2.58123402701716,4.72326420451852,2.37164671176711e-05,0.000246738034028218,0.000136652299547792,"5595/5578/5594/3709/5290/2776/2767/5295/3782/3845/9568/4893/208/23236/207/5330/409/3265",18
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","32/747","76/3535",0.421052631578947,1.99253152962728,4.52713052094046,2.41900033360998e-05,0.000246738034028218,0.000136652299547792,"5595/5906/5594/5879/4915/5290/998/387/5908/5295/6196/3845/2549/5781/4217/4916/4792/4893/5602/396/5663/817/208/207/7189/3551/6654/25970/9261/5601/3265/7531",32
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","28/747","64/3535",0.4375,2.07036479250335,4.4724107671743,3.37353979894756e-05,0.000333001025315469,0.00018442781243822,"5578/3628/1608/3709/5290/1040/5295/3705/5305/5333/8776/3635/113026/9677/3636/5728/8526/23236/23396/9807/3707/22876/3706/5330/9107/3612/8760/55529",28
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","29/747","68/3535",0.426470588235294,2.0181707221041,4.38778489633454,4.37749718974296e-05,0.000418598168769171,0.000231834555114677,"79966/5565/5520/5290/5562/5295/10890/5213/5571/5526/5525/5563/5211/208/3991/51719/5516/5515/207/9230/5521/6794/8660/7248/57521/7249/23216/81617/55844",29
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","46/747","127/3535",0.362204724409449,1.71404779221874,4.24156900574962,4.89858886490082e-05,0.000454232785654439,0.000251570273444667,"5595/55970/2771/5578/5594/2768/5879/3709/59345/5290/387/2776/3716/2778/10672/2767/5295/2788/3685/3845/2783/2782/6093/114/4792/4893/2773/355/6892/3105/6891/2770/208/23236/207/3551/7248/5330/1499/6654/3133/3265/7249/5530/3107/3106",46
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","40/747","106/3535",0.377358490566038,1.7857593897603,4.25114539178285,5.29445830910656e-05,0.00047650124781959,0.000263903339865683,"5595/9732/2771/5578/5906/5594/22808/2246/5879/5587/9863/5290/998/387/5908/2776/54518/2778/5295/3845/9855/5899/114/5898/4893/2773/2247/83660/2770/208/23236/57568/207/5330/5909/1499/7409/3265/7074/6494",40
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","32/747","79/3535",0.40506329113924,1.91686577533764,4.26559510402544,6.09844353836724e-05,0.00053317820649725,0.000295293055541993,"5595/5594/5878/196527/5869/5879/5868/4035/7879/3693/55823/9844/57617/1793/56848/64601/65082/3685/5781/575/23339/27072/961/240/6868/817/9392/834/102/23355/140885/9261",32
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","38/747","100/3535",0.38,1.79825970548862,4.19110002269913,6.82250430977194e-05,0.000579912866330615,0.000321176372477568,"5595/55970/5594/57580/64422/5879/1827/3709/59345/5290/3716/5295/643246/2788/3845/2783/10379/84557/2782/3383/4792/4893/355/5602/2247/3105/208/8678/207/3551/1499/3133/9261/5601/3265/5530/3107/3106",38
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","32/747","80/3535",0.4,1.89290495314592,4.18093473806977,8.15815781409841e-05,0.000671242099458222,0.000371757750301939,"5595/2771/5578/5594/1827/5565/3709/387/2776/5562/2778/785/3845/2977/8536/6093/5571/114/4893/2773/5563/2983/54776/2770/817/23236/57118/784/952/5330/3265/5530",32
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","25/747","57/3535",0.43859649122807,2.07555367669508,4.2369361275289,8.45863993478101e-05,0.000671242099458222,0.000371757750301939,"391/5879/63916/5290/8976/998/387/1785/10163/5295/1496/9844/10552/1793/26052/2549/3059/3611/10094/10096/10093/81873/10097/2017/1499",25
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","36/747","94/3535",0.382978723404255,1.81235580620354,4.13156955160927,8.75997463401023e-05,0.000671242099458222,0.000371757750301939,"5595/55970/2771/5906/5594/57580/5879/59345/5290/998/387/5908/2776/5295/9844/2788/6777/3845/2783/2782/6093/114/4792/4893/2773/2770/208/23236/207/3551/5330/409/6654/7409/3265/7074",36
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","38/747","101/3535",0.376237623762376,1.78045515394913,4.11865754624937,8.77440652886565e-05,0.000671242099458222,0.000371757750301939,"79778/5906/7082/5879/5565/5520/998/387/5872/5562/10552/58494/79784/4478/4217/6093/3059/5571/5563/5602/10094/10096/10093/81873/8777/10097/3996/1739/5516/2017/5515/5521/6794/11346/5601/7074/55844/84952",38
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","21/747","45/3535",0.466666666666667,2.20838911200357,4.2222849150624,0.000105456849629099,0.000787068194792789,0.000435906361753144,"5595/5594/369/5879/5290/387/5295/26060/3845/4088/5899/5898/4893/5602/208/207/1499/6654/5601/3265/4087",21
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","25/747","58/3535",0.431034482758621,2.0397682684762,4.13233384037071,0.000119477059750616,0.000870475721040201,0.000482100416537573,"5595/5578/5594/57153/5879/1608/8613/5290/10163/5295/3845/10810/4893/5602/8526/23446/208/23396/5338/207/7248/6654/5601/3265/7249",25
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","28/747","68/3535",0.411764705882353,1.94857862823844,4.08787925994283,0.000125048866603713,0.000889882632110141,0.000492848654178647,"5595/5594/5520/5290/998/387/5295/3845/5781/2534/5526/4792/5525/4893/5602/208/1739/5516/5515/207/5521/3551/6654/7409/5601/3265/5530/55844",28
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","23/747","52/3535",0.442307692307692,2.09311605395943,4.10996757843076,0.00013875943091669,0.000965008769556982,0.000534456181281989,"5595/5578/5594/369/5879/6452/5290/5295/3845/5781/2534/3383/4893/355/3105/2207/6654/7409/3133/3265/5530/3107/3106",23
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","20/747","43/3535",0.465116279069767,2.2010522710999,4.10115523052304,0.000163016251950261,0.00110851051326178,0.000613932551204492,"5595/5578/5594/5879/5290/5295/3635/3845/2534/695/4893/240/5602/208/2207/207/6654/7409/5601/3265",20
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","19/747","41/3535",0.463414634146341,2.19299964083978,3.97665559440474,0.0002520280692902,0.00167653454788698,0.000928524465805998,"5578/5906/482/5879/3709/387/5908/2776/2778/476/8671/477/493/114/683/23236/885/952/5330",19
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","22/747","51/3535",0.431372549019608,2.04136808672599,3.87701488166912,0.000300575256241252,0.00195693677467709,0.00108382119271762,"5565/1837/5562/6645/3675/3693/8910/785/3685/3696/1756/6444/5571/3679/4842/5563/1605/6443/784/6641/3691/6640",22
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","25/747","61/3535",0.409836065573771,1.93945179625606,3.83064318470689,0.000312788656660985,0.00199402768621378,0.00110436345882497,"5595/80854/5594/369/5565/5290/5562/5295/3845/4088/11337/5571/5728/4893/5563/5602/208/207/6794/3551/8660/6654/5601/3265/102800317",25
