Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
PTGR2,-1.9800523016985991,2.8605140072176016e-7,MB_vs_Glial,PTGR2,145482,Down
ATP1A1,-2.4298220789433707,2.8843673426430585e-7,MB_vs_Glial,ATP1A1,476,Down
CD151,-1.7394064464247236,2.9695465608639304e-7,MB_vs_Glial,CD151,977,Down
GLTP,-2.114715904891387,2.9710920443653687e-7,MB_vs_Glial,GLTP,51228,Down
SEPTIN4,-2.2020345174291656,3.059818947460543e-7,MB_vs_Glial,SEPTIN4,5414,Down
QDPR,-1.8740779419264442,3.105266096923833e-7,MB_vs_Glial,QDPR,5860,Down
GYG1,-2.4622283778696996,3.1127601488139227e-7,MB_vs_Glial,GYG1,2992,Down
PEA15,-2.352812365046514,3.272793510068035e-7,MB_vs_Glial,PEA15,8682,Down
IVD,-1.5315529555899303,3.614822857673308e-7,MB_vs_Glial,IVD,3712,Down
LRP1,-2.197273109579754,3.621540025304376e-7,MB_vs_Glial,LRP1,4035,Down
CD81,-2.5285991762107365,3.793755900869711e-7,MB_vs_Glial,CD81,975,Down
SEC14L2,-3.366968082526146,4.294759684790202e-7,MB_vs_Glial,SEC14L2,23541,Down
SPTAN1,-1.9645736378100054,4.333819862757714e-7,MB_vs_Glial,SPTAN1,6709,Down
RNASEL,-1.4280505400612888,4.4176671524545026e-7,MB_vs_Glial,RNASEL,6041,Down
FARP1,-1.734051575972515,4.4666884620640574e-7,MB_vs_Glial,FARP1,10160,Down
PGM3,-1.7159630572152444,4.545048851947389e-7,MB_vs_Glial,PGM3,5238,Down
SAR1B,-1.2442551266532504,4.561664243400242e-7,MB_vs_Glial,SAR1B,51128,Down
GPM6B,-3.3168284728635413,5.08007813247474e-7,MB_vs_Glial,GPM6B,2824,Down
GALK1,-1.8516233636795079,5.20175992456907e-7,MB_vs_Glial,GALK1,2584,Down
RAB31,-2.4402370528328845,5.524824263837575e-7,MB_vs_Glial,RAB31,11031,Down
ICAM1,-2.7981439605621397,5.544165674093588e-7,MB_vs_Glial,ICAM1,3383,Down
UGP2,-1.6543240645355262,5.624538439661469e-7,MB_vs_Glial,UGP2,7360,Down
TMEM205,-1.5153399398770055,5.752143200939128e-7,MB_vs_Glial,TMEM205,374882,Down
NAXD,-1.625915700874259,5.760000260583587e-7,MB_vs_Glial,NAXD,55739,Down
CMBL,-1.8209855533024566,5.884640359495663e-7,MB_vs_Glial,CMBL,134147,Down
ACSF2,-2.072669639199532,5.935581745790838e-7,MB_vs_Glial,ACSF2,80221,Down
ME1,-2.7782838652444894,6.057083612349881e-7,MB_vs_Glial,ME1,4199,Down
ALDH4A1,-2.4863476258486408,6.059572350558742e-7,MB_vs_Glial,ALDH4A1,8659,Down
CRYAB,-3.7360158913918973,6.137065018889141e-7,MB_vs_Glial,CRYAB,1410,Down
ALDH9A1,-1.8336247614916132,6.138365143238814e-7,MB_vs_Glial,ALDH9A1,223,Down
DSTN,-1.4678501501675782,6.363047824456959e-7,MB_vs_Glial,DSTN,11034,Down
