Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
MYEF2,-1.8912716916080967,5.937930312439246e-5,ATRT_vs_MB,MYEF2,50804,Down
MCRS1,-3.223322862043908,6.131790516436995e-5,ATRT_vs_MB,MCRS1,10445,Down
INO80C,-2.0741430435183332,6.361092866236784e-5,ATRT_vs_MB,INO80C,125476,Down
H1-3,-3.7983859114509144,6.492068022759682e-5,ATRT_vs_MB,H1-3,3007,Down
CIRBP,-2.1312585310739927,6.544131230853122e-5,ATRT_vs_MB,CIRBP,1153,Down
MYT1,-3.346530701502063,6.66562020778806e-5,ATRT_vs_MB,MYT1,4661,Down
HNRNPA0,-1.988339255303103,6.807742425959918e-5,ATRT_vs_MB,HNRNPA0,10949,Down
KDM1A,-1.7698799632485773,6.807742425959918e-5,ATRT_vs_MB,KDM1A,23028,Down
IRF2BP2,-1.8415536236052539,6.920335107465482e-5,ATRT_vs_MB,IRF2BP2,359948,Down
NCOR1,-1.3772226801202514,7.556039182938315e-5,ATRT_vs_MB,NCOR1,9611,Down
SOX11,-3.058917096816378,7.608987601270767e-5,ATRT_vs_MB,SOX11,6664,Down
GLOD4,-1.7295137687017075,7.643021070579256e-5,ATRT_vs_MB,GLOD4,51031,Down
HDAC2,-1.861018285894719,7.717790491061679e-5,ATRT_vs_MB,HDAC2,3066,Down
SMARCE1,-1.699319098761201,7.748398248131845e-5,ATRT_vs_MB,SMARCE1,6605,Down
CENPC,-3.342611664379863,7.785626728270548e-5,ATRT_vs_MB,CENPC,1060,Down
ZNF462,-2.792063952873349,7.785626728270548e-5,ATRT_vs_MB,ZNF462,58499,Down
BAZ1A,-3.1610626455139883,8.437732585004398e-5,ATRT_vs_MB,BAZ1A,11177,Down
AGAP3,-2.8822227536754603,8.437732585004398e-5,ATRT_vs_MB,AGAP3,116988,Down
LIG3,-1.3637994535494968,8.437732585004398e-5,ATRT_vs_MB,LIG3,3980,Down
RBM22,-1.2504361414221705,8.437732585004398e-5,ATRT_vs_MB,RBM22,55696,Down
CDK2AP1,-2.1692830393620177,8.609361075443598e-5,ATRT_vs_MB,CDK2AP1,8099,Down
TMPO,-2.162732794883471,9.277512144105066e-5,ATRT_vs_MB,TMPO,7112,Down
PDXP,-3.311365119816159,9.759454478659751e-5,ATRT_vs_MB,PDXP,57026,Down
PLXNA3,-1.8149881728879045,1.0337242966792944e-4,ATRT_vs_MB,PLXNA3,55558,Down
VEZF1,-1.6861327972928368,1.0706158120880092e-4,ATRT_vs_MB,VEZF1,7716,Down
KMT2A,-2.0409227034520896,1.1330573943808825e-4,ATRT_vs_MB,KMT2A,4297,Down
MSL1,-1.4826656045841098,1.2076169622491041e-4,ATRT_vs_MB,MSL1,339287,Down
PTBP2,-2.860654672034343,1.2231689367092307e-4,ATRT_vs_MB,PTBP2,58155,Down
FAM76B,-2.1701495136234144,1.2231689367092307e-4,ATRT_vs_MB,FAM76B,143684,Down
FLYWCH2,-2.0798460250585933,1.2231689367092307e-4,ATRT_vs_MB,FLYWCH2,114984,Down
UBR7,-1.5399080104589515,1.2231689367092307e-4,ATRT_vs_MB,UBR7,55148,Down
BRD8,-2.498231415002918,1.242641297591061e-4,ATRT_vs_MB,BRD8,10902,Down
MARCKSL1,-3.671755602077905,1.3039453729414547e-4,ATRT_vs_MB,MARCKSL1,65108,Down
ZEB2,-1.8639363269197418,1.3529997911820022e-4,ATRT_vs_MB,ZEB2,9839,Down
AKR1B1,-2.4383370181522572,1.3713605967893147e-4,ATRT_vs_MB,AKR1B1,231,Down
FKBP7,-2.1157447361161204,1.4202409378767138e-4,ATRT_vs_MB,FKBP7,51661,Down
BPTF,-1.7625301440328407,1.4631166071038223e-4,ATRT_vs_MB,BPTF,2186,Down
TAF5,-1.5717817381661021,1.5112606982474358e-4,ATRT_vs_MB,TAF5,6877,Down
MAZ,-2.685549547809728,1.5385736959337823e-4,ATRT_vs_MB,MAZ,4150,Down
RWDD4,-2.516390147883527,1.5409262816945673e-4,ATRT_vs_MB,RWDD4,201965,Down
PSIP1,-2.147948402155734,1.5472236539161856e-4,ATRT_vs_MB,PSIP1,11168,Down
SIN3A,-1.4862828128358885,1.5694726345446094e-4,ATRT_vs_MB,SIN3A,25942,Down
SMARCB1,-1.664621828480616,1.6006041235241104e-4,ATRT_vs_MB,SMARCB1,6598,Down
TOP2B,-1.8493544708850784,1.6845968105219978e-4,ATRT_vs_MB,TOP2B,7155,Down
SMARCA4,-2.0045030562009067,1.6987551694220133e-4,ATRT_vs_MB,SMARCA4,6597,Down
UBE2S,-3.2095441153791207,1.7213864975659178e-4,ATRT_vs_MB,UBE2S,27338,Down
ATAT1,-3.024787757038279,1.7975023871692674e-4,ATRT_vs_MB,ATAT1,79969,Down
GLYR1,-1.382038131064359,2.0130695126590874e-4,ATRT_vs_MB,GLYR1,84656,Down
POLR2A,-1.270648747736523,2.0130695126590874e-4,ATRT_vs_MB,POLR2A,5430,Down
NSUN5,-1.4867743893054772,2.0327063130726875e-4,ATRT_vs_MB,NSUN5,55695,Down
CENPV,-3.16196199922873,2.073280128862522e-4,ATRT_vs_MB,CENPV,201161,Down
RBM10,-1.4679408301283985,2.142604263926765e-4,ATRT_vs_MB,RBM10,8241,Down
MTA1,-1.6902875224089975,2.1471703355581385e-4,ATRT_vs_MB,MTA1,9112,Down
