Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
RALB,-1.3270642298732547,5.935230403502323e-4,MB_vs_EPN_like,RALB,5899,Down
B9D1,-1.8615069933584643,5.989911878151865e-4,MB_vs_EPN_like,B9D1,27077,Down
VAMP3,-1.681639086862372,6.19870737522938e-4,MB_vs_EPN_like,VAMP3,9341,Down
TPPP3,-3.870624721071504,6.24999588614616e-4,MB_vs_EPN_like,TPPP3,51673,Down
TRAF3IP1,-2.2276121185386213,6.362336352097652e-4,MB_vs_EPN_like,TRAF3IP1,26146,Down
IFT140,-1.4718674856354106,6.365178182933162e-4,MB_vs_EPN_like,IFT140,9742,Down
MYLK3,-2.7116304011331067,6.890657339317025e-4,MB_vs_EPN_like,MYLK3,91807,Down
PRKCA,-2.0667689949435726,7.116519657829155e-4,MB_vs_EPN_like,PRKCA,5578,Down
MPI,-1.47355173689839,7.211206638248679e-4,MB_vs_EPN_like,MPI,4351,Down
CLU,-1.8183322173736514,7.271918425513079e-4,MB_vs_EPN_like,CLU,1191,Down
RSPH9,-1.7887906229385457,7.324939023430184e-4,MB_vs_EPN_like,RSPH9,221421,Down
CTNNB1,-1.3748949650395303,7.654182670138491e-4,MB_vs_EPN_like,CTNNB1,1499,Down
YAP1,-1.0532006064628305,7.866637183270241e-4,MB_vs_EPN_like,YAP1,10413,Down
FCSK,-1.5781816043972619,8.155623632460861e-4,MB_vs_EPN_like,FCSK,197258,Down
WFS1,-2.5438386890985356,8.197138450942157e-4,MB_vs_EPN_like,WFS1,7466,Down
DNAH5,-2.7534210130381815,8.239665727835584e-4,MB_vs_EPN_like,DNAH5,1767,Down
TPPP,-3.1484996129058302,8.337121345430928e-4,MB_vs_EPN_like,TPPP,11076,Down
DCAF8,-1.223246438007589,8.372613042859892e-4,MB_vs_EPN_like,DCAF8,50717,Down
ARSA,-1.9827621174976322,8.411318639308534e-4,MB_vs_EPN_like,ARSA,410,Down
RSPH4A,-1.64482007999732,8.471239420268301e-4,MB_vs_EPN_like,RSPH4A,345895,Down
