Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
NOC2L,3.940400936776528e-58,1.5854893250818236,1.4591285614463807,0.015235156437649087
CCDC127,4.3680002103662823e-61,1.124995470477046,-1.124995470477046,0.01527365302915992
CROCC,6.597480389477114e-53,2.1168059407687245,-2.1168059407687245,0.015519342183110931
IFT88,2.3632299850714395e-54,1.627325854901823,-1.627325854901823,0.015908865962401264
LMNB2,1.1135926661157803e-63,1.3303575163668206,-1.1514039068057045,0.015934170153797254
ERI3,2.0119853248044186e-63,1.212414105140585,-1.1266807751505254,0.015934170153797254
UBXN7,8.223244774969899e-63,2.117187478963764,-1.0416490913208705,0.015934170153797254
TMOD1,1.341828428160509e-51,3.15125744068596,-2.360798484593861,0.01596159724139119
C1QB,1.2818248036814398e-52,2.3006188555031386,2.3006188555031386,0.016066112567747672
TRMT1L,4.8251885219557044e-57,1.7441327963547675,1.2760951473574131,0.016242337463463357
GPAT4,1.3550309476788698e-57,1.3814296130259756,1.3814296130259756,0.016536592159108607
TTC8,4.6299083721268044e-57,1.3591958386665048,-1.3591958386665048,0.01658497201905241
ACSS2,1.1091262726346871e-60,1.2406846204684534,1.2406846204684534,0.01674873511005331
MCM7,2.3612295385996754e-61,2.9658266923783927,1.2224582856778525,0.016989510826403743
IDE,1.936524503991069e-63,1.282166892957921,1.0905741978962595,0.017064244860096143
AHCY,1.5205794675702045e-65,1.024534741740215,1.024534741740215,0.017064244860096143
PCBD2,2.1397663532509745e-60,1.401759943654195,-1.3434224445817016,0.017105038318347823
ELOVL1,2.9532395130506104e-56,1.507140220466507,1.507140220466507,0.0175039226778971
RFX3,1.7110890326809153e-59,1.2947222682570647,-1.2947222682570647,0.0175039226778971
RSU1,3.790454378484843e-59,1.49882262864665,1.49882262864665,0.017663224670896788
UTP14A,4.703646341254145e-57,1.4621162749793903,1.4521008827509654,0.017663224670896788
NFIX,4.791812579564293e-54,1.924387468391732,-1.924387468391732,0.017692662488859732
MVP,6.928584536472162e-54,2.3201753190888788,2.08539875619509,0.017775544378017857
HEATR5A,2.3045229882407917e-55,1.711417194292956,-1.6111585282021998,0.017934825224632054
ALG3,1.3976750860542954e-57,1.427967656937824,1.427967656937824,0.01793742536040011
GNB4,9.008972600960973e-58,2.909090644406554,-1.6647749217060586,0.018026795996238583
CD36,6.0082494508057394e-49,2.6895099080898994,-2.6895099080898994,0.018372825615681612
AASS,6.596061000816983e-59,1.4164631062068267,-1.4164631062068267,0.018372825615681612
SRPK1,7.849118763857643e-62,1.78944115447905,1.0772107427832474,0.018372825615681612
CNIH4,3.14905437393382e-60,1.523285806744802,1.3935904783030217,0.018438466637881384
DDAH2,3.3896978410441217e-59,2.760811545756404,-1.5299656722221933,0.01852204507176547
GNL1,3.9272580577060466e-63,1.7558919712515788,-1.1186474883520745,0.018537337144479145
COIL,1.2036848074375466e-61,1.7626982459621345,1.0666878168130722,0.018542579552044733
NOL6,5.720870361701907e-57,1.466838810097368,1.4264435705965433,0.018949638798660587
ALDH3A2,3.0144691660935266e-64,1.0590651397430584,-1.0590651397430584,0.018949638798660587
MAP4K4,3.0290255816139274e-60,1.5817961899658037,-1.2164731715131367,0.019127833858639587
POGLUT2,4.795795982553214e-56,1.5661189517936371,1.3626232073759894,0.019380684419605113
PRDX5,2.246361388977178e-56,1.9665528831027999,-1.9665528831027999,0.01946103783453923
HKDC1,2.6451686172856967e-54,1.7370401679778489,-1.7370401679778489,0.019503666798977966
EPHX1,1.222910123936647e-56,1.9092260147109066,-1.8292450052046796,0.01957279014185894
TAP1,1.2061685517378915e-56,2.3843100797598105,1.6395189432531083,0.01958289932741841
PATL1,2.658961256138078e-60,1.1944419567345044,1.1944419567345044,0.01963934583298241
SBNO1,1.568261889986781e-53,2.5597680945486445,1.4210104543021256,0.019674856018116364
PSIP1,1.4120694644352715e-60,2.147948402155734,-1.3530488382835948,0.019674856018116364
MAN2C1,2.7247340926248013e-60,1.3913668956231362,-1.2486408877164514,0.019674856018116364
MYO1C,1.3392694048022622e-56,1.641146875871712,1.641146875871712,0.01974642348834019
TBL3,1.408198833188819e-60,1.2758021123403367,1.199820476378477,0.01974642348834019
STUB1,6.05597689194604e-60,1.3020337130369342,-1.3020337130369342,0.019825663371764005
C9,1.4464056724301377e-51,2.3270898213778786,2.3270898213778786,0.01982761305209027
ACOX1,1.2391599880516302e-59,1.6728734636178153,1.3570203163400976,0.01982761305209027
COPG1,3.232709353136723e-64,1.094276305522726,1.016042954909178,0.019905133571082083
H3-3A,1.8140084983871413e-56,2.2384404728447613,-1.6113634666451553,0.02002720626128302
HMGN4,1.035192459827972e-59,1.3474664970051577,-1.3474664970051577,0.02013050422723876
PSMF1,2.3239843227446165e-59,1.423919128368734,-1.3920850998163026,0.020637558662295302
COL11A1,2.0339567008159953e-51,2.218343955475266,2.218343955475266,0.020673587895222407
FN1,1.296883175726019e-49,2.667182719717495,2.667182719717495,0.020679760558054913
HEXB,3.687329436503396e-55,2.1228393809683013,1.8318038887462045,0.020709048422420218
BAIAP2,5.052288781663836e-52,2.597594904363291,-2.113288919505745,0.020841545677534937
ROR2,3.2398501457042068e-55,1.5673183885417785,-1.5673183885417785,0.020841545677534937
FKBP2,1.278766822644729e-62,1.335594543373773,-1.1746450785310145,0.020841545677534937
PNKD,1.9177401605502418e-50,1.7208215836211398,1.7208215836211398,0.02090242711969201
CD47,1.050213339994608e-53,2.9812859750023115,-2.2156823498015292,0.021305407449498683
PDIA5,1.2692127869185517e-59,1.3648150760072006,1.2677858146176462,0.021480633613432477
ISOC1,3.286194304148934e-59,1.4434946481672881,-1.4434946481672881,0.021481174694426376
SNX4,4.783136456488636e-59,1.8469687411768696,-1.3418859212223175,0.021481174694426376
MLIP,1.063946269516359e-53,1.7038684020583759,-1.7038684020583759,0.022281544580173743
PARP4,1.7575658575875876e-57,1.4112690167689834,1.4112690167689834,0.022440758923358766
TK2,5.595756216288898e-62,1.5084582218257623,-1.0817683111334482,0.022440758923358766
KBTBD11,2.425985026526633e-46,3.9574188661723717,-3.09401371930468,0.02244527692100708
YES1,5.15498921313533e-55,1.829382067241763,-1.7755845974160351,0.02244527692100708
TBC1D24,6.290178014979658e-58,2.3162776310603768,-1.4919520933580372,0.022593412035580077
POLA1,1.0751105348803123e-60,1.7277906246653885,1.0024736013152555,0.022593412035580077
EIF2A,3.0502100717456963e-60,1.3928772078471887,1.2123005787142134,0.022960151731289128
PTPRG,9.223024992711176e-56,1.6590936081933485,-1.6590936081933485,0.02305414497654267
BAIAP3,4.92661364012674e-57,1.3872576243722996,-1.3872576243722996,0.023134328541955077
AQP4,2.3378196262310655e-44,5.916652942185138,-3.973885336584221,0.02313746443236097
MTX3,4.819076775384879e-58,1.4595385793832243,-1.3520197406686556,0.02313746443236097
CNNM3,5.361361667144935e-60,1.1953802408117582,-1.1953802408117582,0.023357377789647717
GMPR2,2.4829433837869263e-61,1.469844732805484,-1.1715257947471507,0.023357377789647717
ALDH9A1,2.7391734505752884e-60,1.8399680597337067,-1.430765349203167,0.023504667237724097
PITHD1,1.4120694644352715e-60,1.4684034497139251,-1.2845945547057056,0.023504667237724097
