Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
MAP1LC3A,1.8833229502185003e-51,3.5027260154622617,-3.305439524493181,0.0014287838718930344
GTF3C2,9.370595821563362e-66,1.506901427709579,-1.076034698342891,0.0014287838718930344
CRTAP,1.1137956958269472e-59,2.2490574280861075,1.7164076513487814,0.0014506276746377768
TRIM28,1.3543497434268124e-61,2.603473774998516,-1.6896530633043128,0.0014506276746377768
CENPB,8.578220105642721e-63,1.4836880541637782,-1.2624601570541145,0.0014506276746377768
EDC3,4.491697222352477e-65,1.5966153642279508,-1.1696556499460868,0.0014506276746377768
DECR2,3.1229522527538613e-49,2.973676378428955,2.796950873455337,0.0014521908543451696
MPRIP,5.126086593579937e-60,1.5914205079839157,-1.5914205079839157,0.0014882473856009488
NFIA,2.2052932933936597e-54,2.3792016441582327,-2.3792016441582327,0.001490334371389752
TRIO,7.028048702014386e-54,2.4202639802823853,-2.4202639802823853,0.0014986154251043844
ALYREF,8.764411629622989e-63,2.2066022988275087,-1.5186086986942442,0.0015022362319238086
ASRGL1,7.637689158697702e-54,3.3435329844191166,-2.6354927192861233,0.0015583139270447795
LRWD1,1.3052440119392096e-61,2.194766328787466,-1.3800940821866234,0.0015583139270447795
TTC5,6.869704639382837e-62,1.3596938386618262,-1.3596938386618262,0.0015945152198243615
PBRM1,4.816730967927282e-61,1.4871267450742565,-1.4791386676052731,0.0016011032158906413
TLE3,2.5370678938876275e-55,2.114143497222109,-2.114143497222109,0.0016761326324347405
PIP4K2B,1.7797436163555866e-59,1.760598604459485,-1.760598604459485,0.0016761326324347405
CLCN6,2.7617611256830046e-62,1.2855918332814937,-1.2855918332814937,0.0016761326324347405
AHDC1,2.8791207915539735e-60,1.4548767405906062,-1.4548767405906062,0.0016804984089703924
GSTK1,3.241813067845764e-63,1.4461947170419869,1.4461947170419869,0.0016854879596196538
MECP2,3.1530129639369784e-56,2.4060805712104454,-2.197428849533747,0.0016966035114168287
MAP4K4,3.0290255816139274e-60,1.5817961899658037,-1.560955170781746,0.0016966035114168287
API5,2.225729456521401e-64,1.6008942510839432,-1.3219831115437266,0.0016966035114168287
UBE2N,4.23977806024692e-66,1.2831014978992457,-1.2831014978992457,0.0017011781083575547
ZNF22,2.526712419673302e-62,1.3032730666380488,-1.3032730666380488,0.0017032549506364118
HMCES,1.825121204079544e-62,1.254624919013132,-1.254624919013132,0.001704670142144154
MAGT1,3.580091378828423e-60,1.6512342164850082,1.6512342164850082,0.0017384084111451456
TBL1XR1,1.8538237307625947e-62,1.3185203295223182,-1.3185203295223182,0.0017384084111451456
SNW1,2.2629429066170323e-64,1.400155277250633,-1.2098683039061342,0.0017384084111451456
H3-7,1.122164633823953e-60,1.941782956729142,-1.941782956729142,0.0017409428025949446
SAFB2,8.112442795480262e-63,1.3766905297780703,-1.3766905297780703,0.0017409428025949446
SMNDC1,1.8637638940648737e-65,1.6353201095893724,-1.1426475616083813,0.0017817499347120235
TRRAP,6.48139807599403e-64,1.5111875860051072,-1.1618808546211064,0.0018128531603963979
NCAPG2,9.545371045693969e-60,2.454735357235922,-1.4675926500048782,0.0018324450428569379
CRIP2,5.0280457545592825e-57,3.000193625183787,-2.2246669459825092,0.001857007109236217
ATP11A,8.300918978984345e-61,1.3780034110644088,1.3780034110644088,0.0019615970170309407
MED25,1.7010206795346031e-62,1.4513295518690619,-1.2615393669724924,0.0020187715661163126
NHP2,4.66520439396494e-64,1.4101526756936522,-1.2558723597919759,0.002020676950483762
ICAM1,1.487860149521892e-51,2.825494421576483,2.825494421576483,0.002026780702653089
AKAP8L,1.5764372839454635e-61,1.3376045232623284,-1.3376045232623284,0.002026780702653089
EPM2AIP1,1.6958203556150368e-62,1.4921482093058849,-1.4425417486543957,0.0020391631747130596
MEST,2.6275699186930183e-55,2.8604558885848235,2.3049632823039943,0.0020476681978609497
SLC30A7,4.719118226506268e-60,1.8410654840730167,1.5803334873427524,0.0020476681978609497
TMEM35A,3.261839852390174e-61,1.5642888326301438,-1.5642888326301438,0.0020476681978609497
