;ATRT;EPN;HGG;LGG;MB
HSPH1;0;0;0;0;0
IFIT1;0;0;0;0.017807407;0
IFIT3;0;0;0;0.030047225;0
GSN;0;0;0;0.038462379;0
HIF1AN;0;0;0;0;-0.04789462
MCU;0.035596057;0;0;0;0
MED23;0;0;0;0;0.026067382
MAP1A;0;0;0;0.025651106;0
MBLAC1;0;0.035296972;0;0;0
LURAP1;0;0;0;0.044529778;0
KIDINS220;0;0.032359094;0;0;0
KPNA1;0;0;0.101259974;0;0
JMJD6;0;0;0.041165979;0;0
KCNIP1;0;-0.000185363;0;0;0
IQGAP2;0;0;0.020351929;-0.013127102;0
EGFR;0;0;0.012058936;0;0
SRPK1;0;0;-0.04407804;0;0
