category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,7/210,75/9376,0.09333333333333334,4.167111111111112,4.1680648604476875,0.001398069476612626,0.008357348649084363,0.005199837351611873,5213/230/5091/7086/65263/113675/29968,7
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,4/210,23/9376,0.17391304347826086,7.7648033126293985,4.916420081430554,0.0015499003283226567,0.008880093573058577,0.005525082677035076,482/2746/476/477,4
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,8/210,98/9376,0.08163265306122448,3.6447035957240033,3.983531159088229,0.0015515405127648815,0.008880093573058577,0.005525082677035076,482/5578/818/816/476/493/2776/477,8
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,14/210,253/9376,0.05533596837944664,2.4706192358366272,3.5891947560084327,0.0016343342130802504,0.009159081319137237,0.0056986653482403475,960/5595/5594/23176/5333/7335/4735/989/10670/113026/10552/81873/64121/83660,14
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,7/210,78/9376,0.08974358974358974,4.006837606837607,4.036155249652545,0.0017588418831952523,0.009655682991418833,0.0060076446708495195,23396/3612/5333/4329/4534/113026/79837,7
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,6/210,59/9376,0.1016949152542373,4.54043583535109,4.129049079507254,0.001970358399777643,0.01060052819080372,0.0065955154855714794,10314/2948/2944/2947/2946/9588,6
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",5/210,41/9376,0.12195121951219512,5.444831591173055,4.3171330866671696,0.002089623264951049,0.011021738397486906,0.006857587185288273,4128/2653/4129/113675/29968,5
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,5/210,42/9376,0.11904761904761904,5.315192743764172,4.242250454382391,0.0023295094813991276,0.012050731740314718,0.007497813917863589,4128/217/4129/223/883,5
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,8/210,107/9376,0.07476635514018691,3.3381397418780594,3.6817243567475937,0.00270863552435039,0.013747602944344432,0.008553585866369654,5213/5834/818/5257/816/3945/2776/5260,8
Metabolism,Carbohydrate metabolism,hsa00650,Butanoate metabolism,4/210,27/9376,0.14814814814814814,6.614462081128748,4.421939683149632,0.0028642604262266685,0.014268260271388406,0.008877532315205465,7915/5019/18/622,4
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,8/210,110/9376,0.07272727272727272,3.247099567099567,3.588210145633718,0.0032163230277091085,0.01573074353552273,0.009787471031688963,5213/230/5578/5595/5594/818/816/3945,8
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,6/210,67/9376,0.08955223880597014,3.998294243070362,3.727910662816849,0.0037648452432407762,0.018084703043424445,0.011252075069084275,5213/230/217/3945/5236/223,6
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,5/210,47/9376,0.10638297872340426,4.749746707193516,3.9006651839174267,0.0038381397346342345,0.018113326116080863,0.0112698839853526,98/217/3945/5091/223,5
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,11/210,193/9376,0.05699481865284974,2.5446829509005675,3.2819433063666934,0.004056434926112687,0.018701521926463058,0.011635852030160933,5595/5594/10681/2787/3845/2771/2776/2782/2783/59345/55970,11
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,10/210,166/9376,0.060240963855421686,2.689615605278256,3.324432352107979,0.004101820794280001,0.018701521926463058,0.011635852030160933,482/5595/5594/2771/476/493/2776/477/2768/10672,10
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",8/210,115/9376,0.06956521739130435,3.1059213250517597,3.439279567255211,0.004223656129517464,0.018936058314003294,0.01178177762444345,5578/5595/5594/9368/2771/2776/2768/10672,8
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,7/210,93/9376,0.07526881720430108,3.360573476702509,3.4627423721518746,0.004761029841967681,0.020449639793428925,0.012723509008629227,5578/5595/5594/818/816/3845/2776,7
Organismal Systems,Digestive system,hsa04970,Salivary secretion,7/210,93/9376,0.07526881720430108,3.360573476702509,3.4627423721518746,0.004761029841967681,0.020449639793428925,0.012723509008629227,482/5578/1471/476/493/2776/477,7
