"","EPN03","EPN04","GN01","GN03","EPN02","EPNO5","EPN01","GN02","HGG01","MB04","MB06","MB02","MB01","MB03","MB05","MB07","GN06","HGG04","A01","LGG02","LGG03","LGG04","PA01","PA02","PA03","PA04","PA05","PA06","PA07","GN04","GN05","A02","HGG02","ATRT02","ATRT01","ATRT03","HGG03","LGG01"
"PA04",0.659463823393305,0.665830499003075,0.634181174752414,0.612316558278262,0.641892601082494,0.730256344821734,0.689871189378698,0.784142732221065,0.67248034522891,0.585388622907036,0.480033014133586,0.564291112748064,0.523743991337982,0.550272772792933,0.554518557283879,0.559179736874195,0.740131469026131,0.67749090594362,0.746710229989975,0.768808593200775,0.859335618887628,0.856519991009094,0.782649522598409,0.852598578867325,0.827587746187531,1,0.794607523874326,0.834995909654289,0.83244241574481,0.753498583440765,0.687215097543364,0.683123508937448,0.700109161375755,0.522329689981794,0.640365627117484,0.603287216047204,0.730807170002433,0.784902503483123
"PA05",0.716105348172761,0.681368856030828,0.644473470497234,0.583742709061194,0.700587753597302,0.814617123783319,0.696267791544247,0.761733814809652,0.691289589000177,0.548520809725205,0.433997197237728,0.530012812878585,0.49536416181353,0.514936544093251,0.519974876323543,0.537156523057255,0.755526015246756,0.690968459701844,0.784653216582442,0.794914632478249,0.851613531593917,0.872837980879388,0.780994931598355,0.827905282207324,0.815832087084006,0.794607523874326,1,0.866531795517508,0.795647559776974,0.758250237642362,0.756624945205759,0.647687714737623,0.697921159628352,0.476516813494419,0.599528056154812,0.542596662216197,0.675718660921966,0.72713067812594
"PA06",0.703980396009733,0.677425546453519,0.643007263918445,0.616985771873968,0.703609659764109,0.789995378290858,0.718096582643675,0.816159997910358,0.711294465970946,0.583735888827754,0.47514596836819,0.549520931382357,0.50167424013913,0.549423054390562,0.547623561879638,0.565297389068247,0.776381265543182,0.733777963969365,0.827498215788114,0.826525893454323,0.882806119221643,0.89609753403671,0.844765160001169,0.86790243214803,0.85490106599008,0.834995909654289,0.866531795517508,1,0.85330976110962,0.790498754883861,0.773703874327435,0.704369773362466,0.723981262961067,0.501771905127929,0.642267215761648,0.592571271115341,0.73888700605664,0.779076376764691
"PA07",0.6555523217183,0.637474789594903,0.609171644278316,0.58632755561455,0.655954535868064,0.739926371127948,0.681426510574249,0.759857557485882,0.693792652814545,0.55079367010262,0.454201538401083,0.523649309359721,0.4739617059196,0.539527423202176,0.521545239692162,0.55608570897935,0.744506378497799,0.674353070839558,0.815384423124564,0.756415992924018,0.833437956007835,0.839702884208937,0.864511097452746,0.831182946658419,0.871509872237644,0.83244241574481,0.795647559776974,0.85330976110962,1,0.769281984115154,0.716169410530206,0.700439730788563,0.704947586180021,0.485995846395977,0.623496386244225,0.57957379735744,0.718104296984874,0.739183970019738
"GN04",0.751762343166533,0.720680488930865,0.675744944157731,0.700153844467361,0.737107838401281,0.792834257605747,0.735293506995907,0.790970634908944,0.715564547069883,0.612623723437194,0.483407312681514,0.531949812787044,0.489566932888337,0.539389305098229,0.541429316604561,0.539675640414844,0.772335740209082,0.650141982351752,0.76304842371442,0.76784553016827,0.773984924537766,0.784782065426914,0.755887315574124,0.774283909324689,0.765420224856414,0.753498583440765,0.758250237642362,0.790498754883861,0.769281984115154,1,0.695861341906573,0.633867198566671,0.73427259871123,0.529527059966202,0.644027348554262,0.62117223003539,0.711932189958194,0.746395492472352
"GN05",0.630270689251293,0.599400202503132,0.567030496395406,0.5117866538162,0.653655774924989,0.744343365793364,0.603899988816325,0.687876416305348,0.608433086593391,0.475374645634096,0.374358764670082,0.466799775069895,0.435893283574312,0.456661177300558,0.44569956511384,0.457227031332896,0.703286350561416,0.776249792183046,0.771728124530256,0.774052198818879,0.713198977062311,0.724052028621497,0.715105359792529,0.702355945196839,0.73585403270717,0.687215097543364,0.756624945205759,0.773703874327435,0.716169410530206,0.695861341906573,1,0.56738316128023,0.602625967681488,0.362965307204149,0.463272795096149,0.419933979098132,0.532586180894573,0.624169124358103
"A02",0.542512709029998,0.564423389339638,0.537669947089119,0.536279944282456,0.545009569956132,0.591506770442799,0.628410085389464,0.66377343400084,0.632323166408498,0.566809899543818,0.462259470756737,0.503430077193648,0.454423562843891,0.551621670567408,0.513882651148727,0.553919933726198,0.636918629955375,0.604151426936766,0.663938694312808,0.63045912672028,0.708998858392366,0.707978923880975,0.6991829638792,0.726752467725671,0.680626400497033,0.683123508937448,0.647687714737623,0.704369773362466,0.700439730788563,0.633867198566671,0.56738316128023,1,0.621878614058043,0.485166251681189,0.592578873849645,0.561321465288321,0.639732998279332,0.666126528274088
"HGG02",0.720205920883164,0.691640809947317,0.674830700185462,0.67223240581551,0.681612478725037,0.719737213387396,0.715567257889869,0.734540346156349,0.721551024649527,0.617344915156974,0.518300160884345,0.587190202316575,0.580980645665338,0.567242692041143,0.576090423174407,0.593468160090255,0.692134217890164,0.587228714148165,0.660978341101963,0.712221013569937,0.724766543914135,0.738054130650299,0.679842023797805,0.734124443878173,0.685001838567012,0.700109161375755,0.697921159628352,0.723981262961067,0.704947586180021,0.73427259871123,0.602625967681488,0.621878614058043,1,0.587608914934016,0.684161442409208,0.64166102667196,0.74643434620183,0.719367027347478
"ATRT02",0.59349974991444,0.578580276603007,0.630159211249601,0.620449741175438,0.520808781682399,0.492278100095643,0.637770761496716,0.592212539249669,0.63326847060456,0.697955380293845,0.713667584663019,0.660345466628435,0.653120409303342,0.639132672873084,0.658519624744326,0.629878999969883,0.523771283232017,0.409628990793473,0.425303654661768,0.536059721771164,0.547513033162849,0.526906305241087,0.449457289085205,0.53674751272402,0.451511336692959,0.522329689981794,0.476516813494419,0.501771905127929,0.485995846395977,0.529527059966202,0.362965307204149,0.485166251681189,0.587608914934016,1,0.772599924626014,0.800143918280435,0.68033250353148,0.658943354411089
"ATRT01",0.616724298339651,0.609418106497432,0.638079258610657,0.657017678093052,0.546047279086761,0.582600693579981,0.681964678330614,0.691890622377432,0.683927775463347,0.669389478840477,0.638409494079603,0.634774628693773,0.606868099332639,0.60787941925732,0.623543694790948,0.619205661564983,0.612290122475496,0.491078281449707,0.540373177806149,0.620843079508214,0.677616417604159,0.66489194207635,0.586937485601998,0.668479318979089,0.592940682483162,0.640365627117484,0.599528056154812,0.642267215761648,0.623496386244225,0.644027348554262,0.463272795096149,0.592578873849645,0.684161442409208,0.772599924626014,1,0.827120015659186,0.787533165731385,0.758630864563629
"ATRT03",0.622537408074162,0.612220842777568,0.649049794714305,0.683001381308179,0.552589576474839,0.553274777922275,0.682875464430688,0.673386466198371,0.679532090199166,0.707107007418432,0.699257547785602,0.664894079705371,0.622327766860974,0.658231070630039,0.664309821996755,0.644311458497041,0.585696083304408,0.473099194999699,0.499869624984482,0.604302113279742,0.628543062874841,0.612608521413242,0.545242600016185,0.620355650488249,0.537868834896603,0.603287216047204,0.542596662216197,0.592571271115341,0.57957379735744,0.62117223003539,0.419933979098132,0.561321465288321,0.64166102667196,0.800143918280435,0.827120015659186,1,0.749112714134479,0.741846698707486
