Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
SLC1A2,1.1028307344158904e-44,3.7688770342889093,3.7688770342889093,0.0036497696839628787
NAGK,1.1714481035104651e-64,1.0567834457297174,1.0567834457297174,0.0036497696839628787
LAMTOR3,1.827010045563564e-65,1.0019303290694097,1.0019303290694097,0.0036588171184965467
NCDN,1.0266962302502347e-51,2.2580532171027485,2.2580532171027485,0.0036594399630935997
PADI2,1.0181190881076093e-45,3.474583214694956,3.474583214694956,0.003697963654531444
NARS2,2.0400231885240026e-57,1.5003897285648975,-1.5003897285648975,0.00372725529132441
DOCK10,5.501441752685378e-60,1.259967262002025,1.259967262002025,0.0037458372433382607
PALS1,3.419250089957501e-60,1.38098295214224,1.246069790172971,0.003759883816765722
DCTN6,1.2341557225295632e-63,1.0759231228502628,1.0759231228502628,0.0037820054933011354
MMUT,3.4299384358951557e-62,1.1436817810563618,1.1436817810563618,0.0038021287251568505
KCTD7,1.73355901098573e-55,1.5202987344261771,1.5202987344261771,0.003877140337316603
RPP30,1.0021237396612427e-56,1.4430037398757705,-1.4430037398757705,0.003901514348586939
BYSL,1.3660320007437514e-58,1.661262136052926,-1.348678211627636,0.003921595223865803
PSMF1,2.3239843227446174e-59,1.4239191283687376,1.4239191283687376,0.003933472179759398
IFT140,1.0184924830565984e-57,2.2955610475594987,1.446668148702205,0.003945606758991891
FNTA,1.0261818797319968e-63,1.4758515324706885,1.0700051872559087,0.004003557758511798
ECHDC1,2.802771988989123e-61,2.6457676769265213,1.3032538207962183,0.004021189153549217
TM9SF4,1.8251212040797e-62,1.2873052161341896,-1.1689901733822161,0.004034137036012251
OGFOD1,8.156092333183786e-59,1.2697319555159368,-1.2234257966049746,0.004041236710696785
TBPL1,2.126771492150819e-57,1.5034013096736274,-1.4114685265607285,0.004049778516601198
PYGB,4.213159269866574e-56,2.223153246130103,1.8787223299066227,0.004101007258302495
YES1,5.154989213135477e-55,1.8293820672417702,1.8293820672417702,0.004117892897220885
WDR36,2.109847223572338e-60,1.5269506365697865,-1.2141911614492464,0.0041601206949982705
BIN1,9.27805878197636e-54,1.979432995202771,1.979432995202771,0.004164486639835583
AP2A1,2.568921776570024e-62,1.462777529098581,1.2322020046906346,0.00417481287289136
S100A4,3.4151861347145303e-48,3.9272060609363457,-2.928362788162488,0.004193211525637794
CD44,7.794035766224433e-51,4.4869689967755555,2.6744243917749735,0.004203794276298646
CCDC71,2.0155317264886255e-62,1.0978723669963095,-1.028936169420792,0.0042331428511512845
FKBP10,1.6146392939513338e-52,2.6615370618375813,-2.193694305895548,0.00429221756324845
PPP4R2,9.329063631926932e-62,1.5763798519108505,-1.0449911628898931,0.004312811260276522
WWOX,2.850200093071859e-60,1.123298620059174,1.123298620059174,0.004320553466460187
GPAT4,1.3550309476789085e-57,1.3814296130259756,-1.352880999309214,0.004329529077256334
ACTR1B,1.4379196603154263e-60,1.4997914047073237,1.3001391078150917,0.004395106882330907
HSPA12A,2.445075942618365e-47,2.9890016867170104,2.9890016867170104,0.004396492426727462
RIDA,2.4805995482902156e-52,3.25266037239885,2.427300901882724,0.004396492426727462
NVL,1.0062147415583042e-58,1.2827278902852441,-1.1563140127667246,0.004408021180047614
EXOSC3,1.8636952445279447e-61,1.8159657873329067,-1.0600419186833712,0.004408021180047614
MYBBP1A,9.79710568880461e-61,1.8086546591475,-1.2132264948931493,0.00444246850936217
PUDP,2.847590736939195e-55,1.7173929488437665,1.7173929488437665,0.004527518528343988
SMCHD1,2.6314580616072e-59,1.941510554433382,-1.3204281707136865,0.004535936229276126
KRAS,8.45877140667745e-58,1.5459708464796407,1.5459708464796407,0.004583175982523488
RAP1A,1.8922286840268659e-59,1.5959354945087831,1.4982275470113073,0.00458535262301399
ZCCHC3,1.7279404349636785e-57,1.387857233571296,-1.387857233571296,0.004586421469643966
NAA25,9.701130586490248e-62,1.0767286382775474,-1.0767286382775474,0.004608060864215721
EPS15,1.1974453406209537e-58,1.3262037808863951,1.3262037808863951,0.004694589943837465
PYCR2,7.965414795926828e-61,1.3188579075146443,-1.205485866098794,0.004694589943837465
FTSJ3,2.4333296160005135e-60,1.4178851845891316,-1.1736613411073868,0.004694589943837465
CTTN,2.4439303447050972e-62,1.157156365879878,1.157156365879878,0.004694589943837465
SLC27A1,3.648164621968357e-54,1.909611763943623,1.909611763943623,0.004725162929015553
ABR,3.048344776923463e-59,1.3804653134278944,1.3804653134278944,0.004725162929015553
ARPP19,1.0987752450453583e-62,1.1125385411180027,1.1125385411180027,0.004725162929015553
CDC42BPB,4.080422260360014e-61,1.1589005465086117,1.1589005465086117,0.004734339757503087
MAVS,8.342375876398469e-61,1.6187463842529972,1.2054097866835747,0.004751550223319088
C2CD2,2.4426063342518544e-58,1.3609785631814937,1.3609785631814937,0.0047813135417536096
CTPS1,2.0419239289674285e-60,2.0986092268451486,-1.2924197213655617,0.004785773005243331
UTP14A,4.703646341254013e-57,1.4621162749793868,-1.4124156306745448,0.004947019111739555
PANK2,2.5865224396053844e-56,1.4517216997407054,1.4517216997407054,0.0049903957380463965
AKT1,1.6333978862565986e-60,1.2866515636133151,1.2379629806086854,0.005071784583892005
CAD,1.785333009535495e-59,1.9493481663099175,-1.3429783830128699,0.005075214092861967
ARMC10,1.392701261969547e-60,1.3430429511155708,1.2447321849042083,0.005082506224826617
ARHGEF10L,9.778693190117288e-59,1.2748225411395282,1.2748225411395282,0.005126381103207806
ENAH,3.646828823606046e-58,1.5657550972345113,1.4522603180289444,0.005138047376334426
BASP1,1.8557052987300956e-44,5.0411079269618,3.543346345376495,0.005167372589008549
AHCYL2,1.9977727743200565e-53,2.0899647786880067,2.002931561615508,0.005198894527928887
SETD7,4.242247834861453e-61,1.1710243587613007,1.1710243587613007,0.005223282033972515
DHRS1,1.0119465387352064e-60,1.1330720608446363,1.1330720608446363,0.005272522424578799
F3,8.67123909447669e-52,2.2759568224867266,2.2759568224867266,0.005279293108453006
SEC61G,1.6069221782299128e-51,2.4402509393964884,-2.136539028102103,0.005315388944710945
ALCAM,1.1193678129400687e-49,2.5377604491035974,2.5377604491035974,0.005343114032053209
FLNB,1.4784077525805339e-55,2.0998684082309147,-1.781871772788886,0.005343114032053209
MRPL10,6.223400778949832e-55,1.571428562530798,-1.571428562530798,0.00537753540423943
TMEM165,6.545757881653949e-58,1.3957391985204275,-1.3957391985204275,0.005383351320021879
VAT1,1.940678249270227e-58,1.6099423549423442,1.6099423549423442,0.005407767578323617
PTGR3,2.8858417934907723e-58,1.887469014796121,1.4114218891660038,0.005458649134682167
UCHL1,3.3815427036207995e-53,2.2823645454686066,2.2823645454686066,0.005472648645064236
PTPRD,1.2737417150940325e-56,1.503511067531921,1.503511067531921,0.0054728434875333685
PELP1,1.5717731036502822e-60,1.863670811902793,-1.2313691135622626,0.0054999631974705825
ERMP1,2.5906154183797105e-56,2.017895296176196,-1.614283452704587,0.005542464194660794
FBXO3,6.424395252526111e-60,1.2022914851942161,1.2022914851942161,0.005542464194660794
GABARAPL2,3.157069378175773e-54,1.8700151299256156,1.8700151299256156,0.005563740315985491
TOM1,2.393387027889863e-57,1.469538331196027,1.469538331196027,0.00558521213672192
MGAT1,5.452922937966803e-59,1.5248493392342937,-1.2075624515650674,0.005608132045778803
STX12,1.3131714211140954e-63,1.0683005708318198,1.0683005708318198,0.005608132045778803
MINK1,1.4280908857602306e-56,1.4669315591520764,1.4669315591520764,0.005616464981273783
RBMXL1,6.144363555810622e-60,1.2688786988065281,1.2688786988065281,0.005660744644941742
STUB1,6.055976891946386e-60,1.30203371303692,1.2684103534675373,0.005660744644941742
SAE1,6.8590322415084805e-62,2.0245241690526754,-1.1504142592780262,0.005664680320061483
RGL2,7.746780857254695e-60,1.1808664515317417,1.1808664515317417,0.005666983810231813
IRS2,2.1151358793432585e-58,1.281718435144775,1.281718435144775,0.005696965403454291
ARAP1,2.7224930782738954e-60,1.1622843333083814,1.1622843333083814,0.005734080578481384
DNAJB2,5.538081796966379e-52,2.1198665551533225,2.1198665551533225,0.005749334418157808
PXK,6.447739435561792e-62,1.0994666012955499,1.0994666012955499,0.005769858733074891
RBM34,5.795558962971436e-61,1.4544137945637097,-1.0716852775687116,0.005776171123769591
ATP1A1,8.368616635793998e-56,2.815018382048084,1.8139459598898995,0.005783910404190789
FIS1,3.1109873782495055e-64,1.1185238146420176,1.0395190278962048,0.005841473130527623
COIL,1.2036848074375812e-61,1.7626982459621274,-1.02383675053904,0.005841473130527623
KCTD12,3.662486908348168e-54,1.986952596349063,1.986952596349063,0.005889753784764802
GLIPR2,4.264607849146776e-56,1.8313701829260616,1.8313701829260616,0.005889753784764802
POLR2H,4.4097573389251216e-61,1.5586761720826487,-1.1392302781111,0.005904417076399379
NMRAL1,8.883724535348725e-55,1.7363834870608912,1.7363834870608912,0.005964087610352394
KIFAP3,8.71425274025995e-57,1.4050692738996204,1.4050692738996204,0.005964087610352394
SNTB2,5.8034266016294676e-58,2.0243931404005835,1.449249668089216,0.00599137867210645
NPM1,4.0337027130356076e-61,2.002107690243207,-1.3350613105227431,0.005995369943339009
JAK1,5.698335123914885e-61,1.0612316887080873,1.0522487567826708,0.006019561498792229
RNF17,9.842113031956268e-57,1.5675771653354076,1.5675771653354076,0.006073317714130739
RSL1D1,1.0587266981352343e-57,1.6155102569167568,-1.4745431867268017,0.00608425974318359
MYO18A,1.1896246342829119e-57,1.4170630838460667,1.4170630838460667,0.0061197809337994605
RBM28,1.2767298105705e-60,1.927085305227994,-1.1051937646329577,0.0061197809337994605
METTL1,4.613235913612927e-57,1.3831504804584611,-1.3831504804584611,0.006144690907040998
PTPRE,1.9236382130342784e-58,1.3983698230904658,1.3983698230904658,0.006157692384813815
SEPTIN4,3.853714732565521e-56,2.2020345174291585,1.6356756954766816,0.006170526958178357
SCIN,6.365719055872658e-51,2.424603734692358,2.257091690299081,0.006186514717459914
RUFY2,6.072170017071775e-60,1.2408239561235312,1.2408239561235312,0.006186514717459914
VAMP7,9.344559191688995e-59,1.3321735459354365,1.3321735459354365,0.006224863819861302
NUDCD3,1.49885370020905e-59,1.3340810886564576,1.260085633903273,0.006224863819861302
STAT5B,3.503227219647129e-58,1.3447338869063756,1.3447338869063756,0.006274522751343981
TARS3,7.111732049863228e-61,1.1266005665697243,1.1266005665697243,0.006278201256982835
ITM2B,2.994422385460718e-58,1.477673484342258,1.359257761536984,0.006359018303084215
PPP1R7,9.117093462540912e-62,1.257108053255802,1.1959506259519408,0.006416115070329557
NSMCE4A,1.396197807374179e-60,2.5337680492708756,-1.001509496145058,0.006431812461088579
CEND1,7.625592331069231e-42,3.7741489667693706,3.7741489667693706,0.0064853183572678545
CARM1,1.5741109370708894e-63,1.0001568158380572,-1.0001568158380572,0.006488403871972542
CCDC127,4.368000210366656e-61,1.124995470477046,1.0370285688203822,0.006514309682093465
GGT5,2.1631315155168763e-48,2.6758365246242946,2.6758365246242946,0.006559611269460114
NHERF1,2.6687421302708334e-50,2.780760676946006,2.409013870705966,0.006559611269460114
XRN1,1.9385843184132924e-59,1.1309057849580064,-1.1309057849580064,0.006559611269460114
ARHGEF12,1.2872549694632374e-61,1.0413376648977746,1.0413376648977746,0.006559611269460114
FN1,1.296883175726093e-49,2.667182719717502,-2.5609136786786664,0.006619741540962184
GPM6B,2.5762701195939123e-50,3.3168284728635378,2.5064122927827945,0.006619741540962184
FAS,6.745926838324662e-60,1.1463971363544694,1.1463971363544694,0.006619741540962184
BIRC6,1.1134861539677132e-58,1.0967738458149334,-1.0967738458149334,0.006822656499346778
LANCL2,5.959376767380648e-56,1.6136538215412095,1.6136538215412095,0.006836999027053331
THTPA,4.859541503864149e-61,1.081831634449287,1.081831634449287,0.006904094339818399
ATAD1,7.224825424933175e-61,1.1889469356636795,1.1889469356636795,0.006917011675524447
OXCT1,2.696197985184857e-53,1.9852387542522116,1.9852387542522116,0.0069682887036685275
GDPGP1,1.1730962819577134e-59,1.1939555564156201,1.1939555564156201,0.00697832945476873
AUP1,2.9431352025557427e-61,1.2581117003378175,-1.0357475344319127,0.007061069777797071
HNRNPH1,2.5840943013173864e-62,2.120484802376602,-1.1685465933112447,0.007064864030621866
IRAK4,4.549056744537774e-56,1.295456221955945,-1.295456221955945,0.007092721406328118
NCEH1,7.285578577109452e-56,2.7548745741691434,-1.6498594180170585,0.007151885472535164
PNKP,1.257594930956089e-59,1.167825908807007,-1.167825908807007,0.007151885472535164
