#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ITGAM	ITGB2	9606.ENSP00000496959	9606.ENSP00000380948	0	0	0	0	0.550	0.931	0.900	0	0.996
ITGAM	PIK3R1	9606.ENSP00000496959	9606.ENSP00000428056	0	0	0	0	0.049	0	0.900	0	0.900
ITGAV	ITGB8	9606.ENSP00000261023	9606.ENSP00000222573	0	0	0	0	0.087	0.974	0.900	0	0.997
ITGAV	TNR	9606.ENSP00000261023	9606.ENSP00000356646	0	0	0	0	0	0.098	0.900	0	0.905
ITGAV	ITGB2	9606.ENSP00000261023	9606.ENSP00000380948	0	0	0	0	0.098	0.135	0.900	0	0.915
ITGB2	ITGB8	9606.ENSP00000380948	9606.ENSP00000222573	0	0	0	0.822	0	0	0.900	0	0.900
ITGB2	PIK3CA	9606.ENSP00000380948	9606.ENSP00000263967	0	0	0	0	0.109	0	0.900	0	0.907
ITGB2	RAP1A	9606.ENSP00000380948	9606.ENSP00000358723	0	0	0	0	0.114	0.071	0.900	0	0.910
ITGB2	PIK3R1	9606.ENSP00000380948	9606.ENSP00000428056	0	0	0	0	0.044	0	0.900	0	0.900
ITPR2	PLCB1	9606.ENSP00000370744	9606.ENSP00000338185	0	0	0	0	0.076	0.071	0.900	0	0.906
ITPR2	PLCD3	9606.ENSP00000370744	9606.ENSP00000479636	0	0	0	0	0.059	0	0.900	0	0.901
ITPR2	PRKCA	9606.ENSP00000370744	9606.ENSP00000408695	0	0	0	0	0.091	0	0.900	0	0.905
ITPR2	PLCD1	9606.ENSP00000370744	9606.ENSP00000430344	0	0	0	0	0.059	0	0.900	0	0.901
JAK1	PIK3CA	9606.ENSP00000499900	9606.ENSP00000263967	0	0	0	0	0.068	0.069	0.900	0	0.905
JAK1	STAT1	9606.ENSP00000499900	9606.ENSP00000354394	0	0	0	0	0.091	0.875	0.900	0	0.987
JAK1	PIK3R1	9606.ENSP00000499900	9606.ENSP00000428056	0	0	0	0	0.067	0.093	0.900	0	0.907
JAK1	PTPN11	9606.ENSP00000499900	9606.ENSP00000489597	0	0	0	0	0.082	0.750	0.900	0	0.975
JAM2	TJP1	9606.ENSP00000383376	9606.ENSP00000348416	0	0	0	0	0.056	0.292	0.900	0	0.927
KRAS	MAPK1	9606.ENSP00000256078	9606.ENSP00000215832	0	0	0	0	0.088	0.495	0.900	0	0.950
KRAS	PRKCA	9606.ENSP00000256078	9606.ENSP00000408695	0	0	0	0	0.078	0	0.900	0	0.903
KRAS	PIK3R1	9606.ENSP00000256078	9606.ENSP00000428056	0	0	0	0	0.072	0.102	0.900	0	0.909
KRAS	MAPK3	9606.ENSP00000256078	9606.ENSP00000263025	0	0	0	0	0.056	0.098	0.900	0	0.907
KRAS	NF1	9606.ENSP00000256078	9606.ENSP00000351015	0	0	0	0	0.064	0.543	0.900	0	0.953
KRAS	PIK3CA	9606.ENSP00000256078	9606.ENSP00000263967	0	0	0	0	0.143	0.627	0.900	0	0.965
LAP3	PYCR3	9606.ENSP00000226299	9606.ENSP00000220966	0	0	0	0	0.047	0	0.900	0	0.900
MAOA	MAOB	9606.ENSP00000340684	9606.ENSP00000367309	0	0	0	0.976	0.163	0.609	0.900	0	0.964
MAP3K5	PARK7	9606.ENSP00000351908	9606.ENSP00000340278	0	0	0	0	0	0.516	0.900	0	0.949
MAPK1	TSC1	9606.ENSP00000215832	9606.ENSP00000298552	0	0	0	0	0.068	0.113	0.900	0	0.910
