"","EPN03","EPN04","GN01","GN03","EPN02","EPNO5","EPN01","GN02","HGG01","MB04","MB06","MB02","MB01","MB03","MB05","MB07","GN06","HGG04","A01","LGG02","LGG03","LGG04","PA01","PA02","PA03","PA04","PA05","PA06","PA07","GN04","GN05","A02","HGG02","ATRT02","ATRT01","ATRT03","HGG03","LGG01"
"MB06",0.594676960028268,0.537481497906267,0.640033481787325,0.587743530501516,0.522027445741283,0.473086586593921,0.648924799691718,0.568000562451877,0.646367156543315,0.754170262703897,1,0.737925856043624,0.721117210773352,0.7630492258995,0.759652188838075,0.734944067636077,0.520302593070888,0.464643514568459,0.424843955374981,0.520473678423486,0.489930111074672,0.479335828793979,0.434655492437428,0.483674407364236,0.415839549321596,0.485998554039573,0.436004771789555,0.480079612965531,0.466092096944248,0.488121151219409,0.392529934628528,0.505524559298733,0.521197274186765,0.716429743120068,0.641198980125452,0.700931617598517,0.571799128894267,0.586157753162604
"MB02",0.617520989771569,0.599669641836066,0.680437630390397,0.603775443085628,0.532407781619692,0.531130318052304,0.644602151301453,0.62845774473273,0.686018822880797,0.76274768619933,0.737925856043624,1,0.869450199691666,0.822795669244666,0.819871430743407,0.852743908654097,0.549785266129078,0.553699134748828,0.485437450196424,0.604898213240431,0.575365712990801,0.583143031258841,0.519386687191747,0.580871875394958,0.513895274077428,0.566127622527687,0.530682077465149,0.550964174411569,0.538555910070929,0.532666562362539,0.484403267677214,0.548902947378826,0.590161769183987,0.667050779129557,0.642726148936362,0.666018403614813,0.649642021719316,0.631470239463393
"MB01",0.610648568024685,0.564146549220934,0.644673866592208,0.570034088072216,0.5198296941907,0.49777320182977,0.620460009129659,0.5920716419957,0.645913034697088,0.73358728726688,0.721117210773352,0.869450199691666,1,0.798102076204071,0.801670658067534,0.829644676764433,0.510959011018686,0.503557967720355,0.441955087886789,0.560627594437645,0.53023965003489,0.538778925290652,0.464000363894128,0.52908831710707,0.459282737666717,0.525075503033321,0.494876447200336,0.498212354955736,0.485585233853363,0.487516880631588,0.448175781839294,0.485310589805453,0.584444231698725,0.656134351213373,0.612229969584219,0.620853916325093,0.618373048822997,0.589714479799467
"MB03",0.605687603694695,0.580611594013405,0.665090780163948,0.607895698556599,0.552966828559283,0.515079113010419,0.662122765655664,0.627431639034325,0.701734586739328,0.775100763654472,0.7630492258995,0.822795669244666,0.798102076204071,1,0.803855755300923,0.827404972789833,0.559557169707113,0.569879503922283,0.503037834361403,0.600761572858234,0.564741942681468,0.55936418758701,0.534292037156787,0.566295078345624,0.489764186230149,0.549082125572824,0.509406453240559,0.544478652757834,0.548037057643522,0.536787151433829,0.466110566560103,0.601912433007796,0.564819870022707,0.642254560739885,0.609575234578401,0.659093979306524,0.607921417969278,0.6277098847133
"MB05",0.620680352941496,0.589502859830148,0.674652979325634,0.613319739539164,0.54064716452606,0.515801689564478,0.650412774484131,0.603862251020541,0.671277096418728,0.783786937484116,0.759652188838075,0.819871430743407,0.801670658067534,0.803855755300923,1,0.80941533191894,0.560425448112634,0.526043442641524,0.485215906389279,0.590726388659348,0.563523250561,0.568637554465362,0.509645263095382,0.568755912512094,0.493594295658165,0.555417756433901,0.517343792669543,0.543319964786794,0.526979001254233,0.540929590420053,0.459451199778613,0.551954761034684,0.569879381981017,0.664186948056266,0.620623347738123,0.662568388510076,0.62715237571226,0.638411277058787
"MB07",0.61347396826952,0.579174462026895,0.649051117380332,0.585445946217287,0.53825685149244,0.5262972335493,0.659130031063837,0.627350427260733,0.688972020339783,0.764194449720323,0.734944067636077,0.852743908654097,0.829644676764433,0.827404972789833,0.80941533191894,1,0.556435176787231,0.541459899705343,0.505841310871586,0.589855235617776,0.568718957648207,0.578715089306435,0.560298432581583,0.582718912348758,0.517466125425019,0.556489791151234,0.528395394518198,0.555793240340269,0.562466486237859,0.531535889824242,0.463367827785666,0.593268447225332,0.589415506039355,0.636915368260269,0.620732996279974,0.642505317885011,0.649218631330078,0.6216755928938
"GN06",0.707693088585463,0.673894083424872,0.673873822289057,0.622509766276668,0.685471145346145,0.760565292383572,0.703558889384467,0.742495403174089,0.712362008158018,0.596006836511885,0.520302593070888,0.549785266129078,0.510959011018686,0.559557169707113,0.560425448112634,0.556435176787231,1,0.711912087494896,0.764488444657279,0.756590561299932,0.765551502789708,0.763263086859239,0.73360851254109,0.762350401672094,0.755964235499393,0.737042949265675,0.761249535708956,0.774635097655272,0.746784875709381,0.773248892238056,0.719088744938373,0.67265362171748,0.683964161046349,0.528990655664264,0.603533138237573,0.579620304951067,0.668893192066529,0.719033488157226
"HGG04",0.586101899189881,0.576533155265789,0.6045860193833,0.515235818498017,0.589769174896324,0.650219441854177,0.609142987483056,0.700000299558055,0.652213773458617,0.55085853945959,0.464643514568459,0.553699134748828,0.503557967720355,0.569879503922283,0.526043442641524,0.541459899705343,0.711912087494896,1,0.712962508485552,0.790894822161463,0.709079413752234,0.70289898818949,0.672644649736247,0.692421892131249,0.682413547962877,0.672461556901668,0.693253999112057,0.737845789918211,0.672948020388045,0.644853062642554,0.806168512203626,0.638277715035813,0.574223245549009,0.416167618254659,0.47991503253691,0.462964857872441,0.532649136308396,0.658286447546835
"A01",0.697220417626579,0.660507607608556,0.608475276619073,0.571072636278741,0.726411782434296,0.798947516655816,0.701321241045975,0.73022612318442,0.685266358204056,0.527618906777712,0.424843955374981,0.485437450196424,0.441955087886789,0.503037834361403,0.485215906389279,0.505841310871586,0.764488444657279,0.712962508485552,1,0.74590482919708,0.783059782570539,0.796794216831671,0.865035398308329,0.78680164736324,0.858964213490054,0.760145737160681,0.813171134366391,0.847418187841777,0.841657400412498,0.790249357936479,0.81370674097799,0.732419853207233,0.66969215229369,0.450177030040998,0.551386497784092,0.513691358659399,0.611351488487204,0.662131939894687
"LGG02",0.756950594977679,0.724660837760966,0.715261200822836,0.631740071493495,0.726666126731395,0.768111460588312,0.746951879397998,0.809810173331794,0.740964440419101,0.644388879988871,0.520473678423486,0.604898213240431,0.560627594437645,0.600761572858234,0.590726388659348,0.589855235617776,0.756590561299932,0.790894822161463,0.74590482919708,1,0.797846969439261,0.796851778529729,0.724573264560504,0.764318898230168,0.742417747064113,0.75386974668165,0.787099799186775,0.821557278676778,0.745547978193004,0.753867399049727,0.791998418271763,0.660752679810185,0.696371406190065,0.534972350770952,0.601078465331397,0.584957192738917,0.667534102105968,0.76944867733305
